2025-05-06 00:00:36,935 - INFO - New day started - Logs reset for 2025-05-06
2025-05-06 00:00:36,978 - ERROR - Error checking position for TIA/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:00:37,033 - ERROR - Error checking position for DOGS/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:00:37,091 - ERROR - Error checking position for BAN/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:00:37,152 - ERROR - Error checking position for BOME/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:00:37,214 - ERROR - Error checking position for ORCA/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:00:37,277 - ERROR - Error checking position for AMB/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:00:37,337 - ERROR - Error checking position for BOND/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:00:37,401 - ERROR - Error checking position for NEAR/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:00:37,462 - ERROR - Error checking position for HIPPO/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:00:37,524 - ERROR - Error checking position for BAKE/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:00:37,584 - ERROR - Error checking position for FXS/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:00:37,646 - ERROR - Error checking position for 1000PEPE/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:00:37,707 - ERROR - Error checking position for ACX/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:00:37,770 - ERROR - Error checking position for LINK/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:00:37,843 - ERROR - Error checking position for POL/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:00:37,901 - ERROR - Error checking position for MOODENG/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:00:37,963 - ERROR - Error checking position for ATOM/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:00:38,026 - ERROR - Error checking position for PHA/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:00:38,088 - ERROR - Error checking position for ORDI/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:00:38,150 - ERROR - Error checking position for DOGE/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:00:38,213 - ERROR - Error checking position for XLM/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:00:38,275 - ERROR - Error checking position for GALA/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:00:38,340 - ERROR - Error checking position for TNSR/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:00:38,403 - ERROR - Error checking position for GRASS/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:00:38,462 - ERROR - Error checking position for DOT/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:00:38,525 - ERROR - Error checking position for ZRO/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:00:38,589 - ERROR - Error checking position for BNB/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:00:38,674 - ERROR - Error checking position for THETA/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:00:38,717 - ERROR - Error checking position for ARPA/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:00:38,780 - ERROR - Error checking position for EOS/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
2025-05-06 00:00:38,838 - ERROR - Error checking position for XRP/USDT: binance {"code":-1021,"msg":"Timestamp for this request was 1000ms ahead of the server's time."}
